sid,search,"splunk_server","_time","is_realtime",provenance,"api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"rt_md_1605842944.346","| metadata type=sourcetypes | search totalCount > 0","prod-openpathus","1605842944.290273",1,"UI:Search",,,0,1605842944,0,0,,,canceled,"73.041",,,,,,,,,,,,,,,,
"1605843016.347","| makeresults |eval day=12,month=""Nov"",time=""22:34""","prod-openpathus","1605843016.609234",0,"UI:Search","1605754800.000000000","1605843016.000000000",0,1605843016,1,0,"1605754800.000000000","1605843016.000000000",completed,"0.024",,,,,,,,,,,,,,,,
"1605843034.348","| makeresults |eval day=12,month=""Nov"",time=""22:34"" | eval date=month+"" ""+day+"" ""+""20""+"" ""+time |fields - month day time |eval epochtime=strptime(date,""%b %d %Y %R"")","prod-openpathus","1605843034.356510",0,"UI:Search","1605754800.000000000","1605843034.000000000",0,1605843034,1,0,"1605754800.000000000","1605843034.000000000",completed,"0.028",,,,,,,,,,,,,,,,
"1605843082.349","| makeresults |eval day=12,month=""Nov"",time=""22:34"" | eval date=month+"" ""+day+"" ""+""2020""+"" ""+time |fields - month day time |eval epochtime=strptime(date,""%b %d %Y %R"")","prod-openpathus","1605843082.611197",0,"UI:Search","1605754800.000000000","1605843082.000000000",0,1605843082,1,0,"1605754800.000000000","1605843082.000000000",completed,"0.018000000000000002",,,,,,,,,,,,,,,,
