sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"rt_md_1605771648.133","| metadata type=sourcetypes | search totalCount > 0","prod-openpathus","1605771648.933070",1,"UI:Search",0,1605771648,0,0,failed,"41.034",,,,,,,,,,,,,,,,,,,,
"rt_md_1605843898.381","| metadata type=sourcetypes | search totalCount > 0","prod-openpathus","1605843898.368373",1,"UI:Search",0,1605843898,0,0,canceled,"5.025",,,,,,,,,,,,,,,,,,,,
"1605843902.382","| inputlookup lookupfilesize.csv |eval date=month+"" ""+day+"" ""+""2020""+"" ""+time |fields - month day time |eval epochtime=strptime(date,""%b %d %Y %R"") |eval _time=epochtime |timechart values(size) as size by file","prod-openpathus","1605843902.700637",0,"UI:Search",0,1605843902,51,0,completed,"0.052000000000000005","1605754800.000000000","1605843902.000000000","1605754800.000000000","1605843902.000000000",,,,,,,,,,,,,,,,
"1605845456.385","| inputlookup lookupfilesize.csv |eval date=month+"" ""+day+"" ""+""2020""+"" ""+time |fields - month day time |eval epochtime=strptime(date,""%b %d %Y %R"") |eval _time=epochtime |timechart values(size) as size by file","prod-openpathus","1605845456.959661",0,"UI:Search",0,1605845457,50,0,completed,"0.052000000000000005","1605758400.000000000","1605845456.000000000","1605758400.000000000","1605845456.000000000",,,,,,,,,,,,,,,,
